CMDLINE /oscar/home/ndilullo/work/tensorflow.venv/bin/python memprof.py
MEM 3718.378906 1772130303.8598
MEM 3744.378906 1772130303.9602
MEM 3770.378906 1772130304.0606
MEM 3785.878906 1772130304.1609
MEM 3785.878906 1772130304.2614
MEM 3785.878906 1772130304.3618
MEM 3785.878906 1772130304.4623
MEM 3795.539062 1772130304.5626
MEM 3821.539062 1772130304.6630
MEM 3847.539062 1772130304.7633
MEM 3873.539062 1772130304.8637
MEM 3899.539062 1772130304.9641
MEM 3925.539062 1772130305.0644
MEM 3951.539062 1772130305.1648
MEM 3977.539062 1772130305.2652
MEM 4003.539062 1772130305.3656
MEM 4029.539062 1772130305.4659
MEM 4055.539062 1772130305.5663
MEM 4081.539062 1772130305.6667
MEM 4107.539062 1772130305.7670
MEM 4133.539062 1772130305.8674
MEM 4159.539062 1772130305.9678
MEM 4185.539062 1772130306.0681
MEM 4211.539062 1772130306.1685
MEM 4220.039062 1772130306.2689
MEM 4220.039062 1772130306.3693
MEM 4220.039062 1772130306.4697
MEM 4224.492188 1772130306.5701
MEM 4248.492188 1772130306.6704
MEM 4274.492188 1772130306.7708
MEM 4300.492188 1772130306.8712
MEM 4326.492188 1772130306.9715
MEM 4352.492188 1772130307.0718
MEM 4378.492188 1772130307.1722
MEM 4404.492188 1772130307.2725
MEM 4430.492188 1772130307.3728
MEM 4456.492188 1772130307.4732
MEM 4482.492188 1772130307.5735
MEM 4508.492188 1772130307.6738
MEM 4534.492188 1772130307.7742
MEM 4558.492188 1772130307.8748
MEM 4584.492188 1772130307.9751
MEM 4610.492188 1772130308.0755
MEM 4623.992188 1772130308.1758
MEM 4623.992188 1772130308.2762
MEM 4623.992188 1772130308.3766
MEM 4627.050781 1772130308.4770
MEM 4651.050781 1772130308.5774
MEM 4677.050781 1772130308.6777
MEM 4703.050781 1772130308.7781
MEM 4729.050781 1772130308.8784
MEM 4755.050781 1772130308.9788
MEM 4781.050781 1772130309.0792
MEM 4807.050781 1772130309.1795
MEM 4833.050781 1772130309.2799
MEM 4855.050781 1772130309.3802
MEM 4881.050781 1772130309.4806
MEM 4907.050781 1772130309.5810
MEM 4933.050781 1772130309.6813
MEM 4959.050781 1772130309.7817
MEM 4985.050781 1772130309.8821
MEM 5011.050781 1772130309.9824
MEM 5037.050781 1772130310.0828
MEM 5045.550781 1772130310.1832
MEM 5045.550781 1772130310.2836
MEM 5045.550781 1772130310.3841
MEM 5051.554688 1772130310.4844
MEM 5077.554688 1772130310.5848
MEM 5103.554688 1772130310.6852
MEM 5129.554688 1772130310.7856
MEM 5155.554688 1772130310.8860
MEM 5181.554688 1772130310.9863
MEM 5207.554688 1772130311.0867
MEM 5233.554688 1772130311.1871
MEM 5259.554688 1772130311.2875
MEM 5285.554688 1772130311.3878
MEM 5311.554688 1772130311.4882
MEM 5337.554688 1772130311.5885
MEM 5363.554688 1772130311.6888
MEM 5389.554688 1772130311.7892
MEM 5417.554688 1772130311.8895
MEM 5443.554688 1772130311.9899
MEM 5469.554688 1772130312.0903
MEM 5483.054688 1772130312.1907
MEM 5483.054688 1772130312.2911
MEM 5483.054688 1772130312.3915
MEM 5488.828125 1772130312.4918
MEM 5512.832031 1772130312.5922
MEM 5538.835938 1772130312.6925
MEM 5564.835938 1772130312.7928
MEM 5590.835938 1772130312.8932
MEM 5616.902344 1772130312.9935
MEM 5642.902344 1772130313.0938
MEM 5668.902344 1772130313.1942
MEM 5694.902344 1772130313.2946
MEM 5720.902344 1772130313.3950
MEM 5746.902344 1772130313.4953
MEM 5772.902344 1772130313.5957
MEM 5798.906250 1772130313.6960
MEM 5824.906250 1772130313.7964
MEM 5850.906250 1772130313.8968
MEM 5876.906250 1772130313.9972
MEM 5902.906250 1772130314.0975
MEM 5913.906250 1772130314.1979
MEM 5913.906250 1772130314.2983
MEM 5913.906250 1772130314.3988
MEM 5919.757812 1772130314.4991
MEM 5945.757812 1772130314.5995
MEM 5971.757812 1772130314.6998
MEM 5997.757812 1772130314.8002
MEM 6023.757812 1772130314.9005
